EXPERIMENTALCONDITION,PARTICIPANTID,COMPUTERID,EXPERIMENT,DPS,BLOCKDP,DP,ABSORDER,RELORDER,DATE,TIME,SIMULATEDDAY,DESCRIPTIVEDAY,TYPETRIAL,LEARNINGMODE,ALTERNATIVE,ROUTE,DIRECTION,CONTROLROUTE_C,TREATMENTROUTE_T,WAITING,TRAVEL,JOURNEY
descriptiveTreatmentCondition1,74,F00,2,6,4,6,3,3,19072017,122648,1,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,3,8,11
descriptiveTreatmentCondition1,74,F00,2,6,4,6,3,3,19072017,122648,3,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,3,8,11
descriptiveTreatmentCondition1,74,F00,3,6,5,13,4,4,19072017,122653,5,1,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,4,2,6
descriptiveTreatmentCondition1,74,F00,3,6,5,13,4,4,19072017,122653,5,2,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,4,10,14
descriptiveTreatmentCondition1,74,F00,3,6,5,13,4,4,19072017,122653,5,1,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,3,6,5,13,4,4,19072017,122653,5,2,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,1,2,2,2,5,5,19072017,122657,1,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,74,F00,1,2,2,2,5,5,19072017,122657,3,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,74,F00,1,2,2,2,5,5,19072017,122657,2,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,6,4,10
descriptiveTreatmentCondition1,74,F00,1,2,2,2,5,5,19072017,122657,4,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,6,4,10
descriptiveTreatmentCondition1,74,F00,3,6,1,9,6,6,19072017,122702,5,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,3,6,1,9,6,6,19072017,122702,5,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,3,6,1,9,6,6,19072017,122702,5,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,2,6,8
descriptiveTreatmentCondition1,74,F00,3,6,1,9,6,6,19072017,122702,5,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,74,F00,2,6,1,3,7,7,19072017,122708,1,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,2,6,1,3,7,7,19072017,122708,3,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,2,6,1,3,7,7,19072017,122708,2,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,6,4,10
descriptiveTreatmentCondition1,74,F00,2,6,1,3,7,7,19072017,122708,4,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,6,4,10
descriptiveTreatmentCondition1,74,F00,2,6,5,7,8,8,19072017,122712,2,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,2,8,10
descriptiveTreatmentCondition1,74,F00,2,6,5,7,8,8,19072017,122712,4,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,2,8,10
descriptiveTreatmentCondition1,74,F00,2,6,5,7,8,8,19072017,122712,1,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,8,1,9
descriptiveTreatmentCondition1,74,F00,2,6,5,7,8,8,19072017,122712,3,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,8,1,9
descriptiveTreatmentCondition1,74,F00,2,6,3,5,9,9,19072017,122717,2,1,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,2,9,11
descriptiveTreatmentCondition1,74,F00,2,6,3,5,9,9,19072017,122717,4,2,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,2,9,11
descriptiveTreatmentCondition1,74,F00,2,6,3,5,9,9,19072017,122717,1,1,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,8,2,10
descriptiveTreatmentCondition1,74,F00,2,6,3,5,9,9,19072017,122717,3,2,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,8,2,10
descriptiveTreatmentCondition1,74,F00,3,6,4,12,10,10,19072017,122720,5,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,0,6,6
descriptiveTreatmentCondition1,74,F00,3,6,4,12,10,10,19072017,122720,5,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,8,6,14
descriptiveTreatmentCondition1,74,F00,3,6,4,12,10,10,19072017,122720,5,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,3,6,4,12,10,10,19072017,122720,5,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,3,6,6,14,11,11,19072017,122725,5,1,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,0,6,6
descriptiveTreatmentCondition1,74,F00,3,6,6,14,11,11,19072017,122725,5,2,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,8,6,14
descriptiveTreatmentCondition1,74,F00,3,6,6,14,11,11,19072017,122725,5,1,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,4,10,14
descriptiveTreatmentCondition1,74,F00,3,6,6,14,11,11,19072017,122725,5,2,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,4,2,6
descriptiveTreatmentCondition1,74,F00,2,6,6,8,12,12,19072017,122731,2,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,7,2,9
descriptiveTreatmentCondition1,74,F00,2,6,6,8,12,12,19072017,122731,4,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,7,2,9
descriptiveTreatmentCondition1,74,F00,2,6,6,8,12,12,19072017,122731,1,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,2,8,10
descriptiveTreatmentCondition1,74,F00,2,6,6,8,12,12,19072017,122731,3,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,2,8,10
descriptiveTreatmentCondition1,74,F00,1,2,1,1,13,13,19072017,122735,2,1,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,6,6,12
descriptiveTreatmentCondition1,74,F00,1,2,1,1,13,13,19072017,122735,4,2,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,6,6,12
descriptiveTreatmentCondition1,74,F00,1,2,1,1,13,13,19072017,122735,1,1,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,1,2,1,1,13,13,19072017,122735,3,2,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,2,6,2,4,14,14,19072017,122737,1,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,1,9,10
descriptiveTreatmentCondition1,74,F00,2,6,2,4,14,14,19072017,122737,3,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,1,9,10
descriptiveTreatmentCondition1,74,F00,2,6,2,4,14,14,19072017,122737,2,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,9,1,10
descriptiveTreatmentCondition1,74,F00,2,6,2,4,14,14,19072017,122737,4,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,9,1,10
descriptiveTreatmentCondition1,72,B00,2,6,3,5,1,1,19072017,123120,1,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,2,9,11
descriptiveTreatmentCondition1,72,B00,2,6,3,5,1,1,19072017,123120,3,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,2,9,11
descriptiveTreatmentCondition1,72,B00,2,6,3,5,1,1,19072017,123120,2,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,8,2,10
descriptiveTreatmentCondition1,72,B00,2,6,3,5,1,1,19072017,123120,4,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,8,2,10
descriptiveTreatmentCondition1,72,B00,1,2,1,1,2,2,19072017,123130,1,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,72,B00,1,2,1,1,2,2,19072017,123130,3,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,72,B00,1,2,1,1,2,2,19072017,123130,2,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,1,2,1,1,2,2,19072017,123130,4,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,3,6,6,14,3,3,19072017,123137,5,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,0,6,6
descriptiveTreatmentCondition1,72,B00,3,6,6,14,3,3,19072017,123137,5,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,8,6,14
descriptiveTreatmentCondition1,72,B00,3,6,6,14,3,3,19072017,123137,5,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,10,14
descriptiveTreatmentCondition1,72,B00,3,6,6,14,3,3,19072017,123137,5,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,2,6
descriptiveTreatmentCondition1,72,B00,2,6,4,6,4,4,19072017,123152,1,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,3,8,11
descriptiveTreatmentCondition1,72,B00,2,6,4,6,4,4,19072017,123152,3,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,3,8,11
descriptiveTreatmentCondition1,72,B00,2,6,4,6,4,4,19072017,123152,2,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,8,2,10
descriptiveTreatmentCondition1,72,B00,2,6,4,6,4,4,19072017,123152,4,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,8,2,10
descriptiveTreatmentCondition1,72,B00,2,6,1,3,5,5,19072017,123156,1,1,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,2,6,1,3,5,5,19072017,123156,3,2,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,2,6,1,3,5,5,19072017,123156,2,1,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,6,4,10
descriptiveTreatmentCondition1,72,B00,2,6,1,3,5,5,19072017,123156,4,2,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,6,4,10
descriptiveTreatmentCondition1,72,B00,3,6,2,10,6,6,19072017,123201,5,1,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,3,6,2,10,6,6,19072017,123201,5,2,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,3,6,2,10,6,6,19072017,123201,5,1,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,4,4,8
descriptiveTreatmentCondition1,72,B00,3,6,2,10,6,6,19072017,123201,5,2,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,4,8,12
descriptiveTreatmentCondition1,72,B00,3,6,4,12,7,7,19072017,123209,5,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,0,6,6
descriptiveTreatmentCondition1,72,B00,3,6,4,12,7,7,19072017,123209,5,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,8,6,14
descriptiveTreatmentCondition1,72,B00,3,6,4,12,7,7,19072017,123209,5,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,3,6,4,12,7,7,19072017,123209,5,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,2,6,6,8,8,8,19072017,123213,2,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,2,8,10
descriptiveTreatmentCondition1,72,B00,2,6,6,8,8,8,19072017,123213,4,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,2,8,10
descriptiveTreatmentCondition1,72,B00,2,6,6,8,8,8,19072017,123213,1,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,7,2,9
descriptiveTreatmentCondition1,72,B00,2,6,6,8,8,8,19072017,123213,3,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,7,2,9
descriptiveTreatmentCondition1,72,B00,1,2,2,2,9,9,19072017,123219,2,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,6,4,10
descriptiveTreatmentCondition1,72,B00,1,2,2,2,9,9,19072017,123219,4,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,6,4,10
descriptiveTreatmentCondition1,72,B00,1,2,2,2,9,9,19072017,123219,1,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,6,6,12
descriptiveTreatmentCondition1,72,B00,1,2,2,2,9,9,19072017,123219,3,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,6,6,12
descriptiveTreatmentCondition1,72,B00,3,6,3,11,10,10,19072017,123224,5,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,4,8
descriptiveTreatmentCondition1,72,B00,3,6,3,11,10,10,19072017,123224,5,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,8,12
descriptiveTreatmentCondition1,72,B00,3,6,3,11,10,10,19072017,123224,5,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,72,B00,3,6,3,11,10,10,19072017,123224,5,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,2,6,8
descriptiveTreatmentCondition1,72,B00,2,6,2,4,11,11,19072017,123227,1,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,9,1,10
descriptiveTreatmentCondition1,72,B00,2,6,2,4,11,11,19072017,123227,3,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,9,1,10
descriptiveTreatmentCondition1,72,B00,2,6,2,4,11,11,19072017,123227,2,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,1,9,10
descriptiveTreatmentCondition1,72,B00,2,6,2,4,11,11,19072017,123227,4,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,1,9,10
descriptiveTreatmentCondition1,72,B00,3,6,1,9,12,12,19072017,123231,5,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,3,6,1,9,12,12,19072017,123231,5,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,3,6,1,9,12,12,19072017,123231,5,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,2,6,8
descriptiveTreatmentCondition1,72,B00,3,6,1,9,12,12,19072017,123231,5,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,72,B00,2,6,5,7,13,13,19072017,123234,2,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,2,8,10
descriptiveTreatmentCondition1,72,B00,2,6,5,7,13,13,19072017,123234,4,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,2,8,10
descriptiveTreatmentCondition1,72,B00,2,6,5,7,13,13,19072017,123234,1,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,8,1,9
descriptiveTreatmentCondition1,72,B00,2,6,5,7,13,13,19072017,123234,3,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,8,1,9
descriptiveTreatmentCondition1,72,B00,3,6,5,13,14,14,19072017,123238,5,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,3,6,5,13,14,14,19072017,123238,5,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,72,B00,3,6,5,13,14,14,19072017,123238,5,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,4,2,6
descriptiveTreatmentCondition1,72,B00,3,6,5,13,14,14,19072017,123238,5,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,4,10,14
descriptiveTreatmentCondition1,70,C00,1,2,1,1,1,1,19072017,103938,1,1,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,1,2,1,1,1,1,19072017,103938,3,2,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,1,2,1,1,1,1,19072017,103938,2,1,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,70,C00,1,2,1,1,1,1,19072017,103938,4,2,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,70,C00,2,6,6,8,2,2,19072017,103955,2,1,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,2,8,10
descriptiveTreatmentCondition1,70,C00,2,6,6,8,2,2,19072017,103955,4,2,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,2,8,10
descriptiveTreatmentCondition1,70,C00,2,6,6,8,2,2,19072017,103955,1,1,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,7,2,9
descriptiveTreatmentCondition1,70,C00,2,6,6,8,2,2,19072017,103955,3,2,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,7,2,9
descriptiveTreatmentCondition1,70,C00,3,6,6,14,3,3,19072017,104002,5,1,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,0,6,6
descriptiveTreatmentCondition1,70,C00,3,6,6,14,3,3,19072017,104002,5,2,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,8,6,14
descriptiveTreatmentCondition1,70,C00,3,6,6,14,3,3,19072017,104002,5,1,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,4,10,14
descriptiveTreatmentCondition1,70,C00,3,6,6,14,3,3,19072017,104002,5,2,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,4,2,6
descriptiveTreatmentCondition1,70,C00,2,6,5,7,4,4,19072017,104031,2,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,2,8,10
descriptiveTreatmentCondition1,70,C00,2,6,5,7,4,4,19072017,104031,4,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,2,8,10
descriptiveTreatmentCondition1,70,C00,2,6,5,7,4,4,19072017,104031,1,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,8,1,9
descriptiveTreatmentCondition1,70,C00,2,6,5,7,4,4,19072017,104031,3,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,8,1,9
descriptiveTreatmentCondition1,70,C00,3,6,5,13,5,5,19072017,104038,5,1,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,3,6,5,13,5,5,19072017,104038,5,2,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,3,6,5,13,5,5,19072017,104038,5,1,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,4,10,14
descriptiveTreatmentCondition1,70,C00,3,6,5,13,5,5,19072017,104038,5,2,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,4,2,6
descriptiveTreatmentCondition1,70,C00,3,6,2,10,6,6,19072017,104048,5,1,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,4,4,8
descriptiveTreatmentCondition1,70,C00,3,6,2,10,6,6,19072017,104048,5,2,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,4,8,12
descriptiveTreatmentCondition1,70,C00,3,6,2,10,6,6,19072017,104048,5,1,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,3,6,2,10,6,6,19072017,104048,5,2,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,2,6,3,5,7,7,19072017,104101,2,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,2,9,11
descriptiveTreatmentCondition1,70,C00,2,6,3,5,7,7,19072017,104101,4,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,2,9,11
descriptiveTreatmentCondition1,70,C00,2,6,3,5,7,7,19072017,104101,1,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,8,2,10
descriptiveTreatmentCondition1,70,C00,2,6,3,5,7,7,19072017,104101,3,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,8,2,10
descriptiveTreatmentCondition1,70,C00,2,6,2,4,8,8,19072017,104114,2,1,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,1,9,10
descriptiveTreatmentCondition1,70,C00,2,6,2,4,8,8,19072017,104114,4,2,descriptive,halfRandom,A,control,clockwise,clockwise,counterclockwise,1,9,10
descriptiveTreatmentCondition1,70,C00,2,6,2,4,8,8,19072017,104114,1,1,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,9,1,10
descriptiveTreatmentCondition1,70,C00,2,6,2,4,8,8,19072017,104114,3,2,descriptive,halfRandom,B,treatment,counterclockwise,clockwise,counterclockwise,9,1,10
descriptiveTreatmentCondition1,70,C00,3,6,4,12,9,9,19072017,104119,5,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,3,6,4,12,9,9,19072017,104119,5,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,3,6,4,12,9,9,19072017,104119,5,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,8,6,14
descriptiveTreatmentCondition1,70,C00,3,6,4,12,9,9,19072017,104119,5,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,0,6,6
descriptiveTreatmentCondition1,70,C00,1,2,2,2,10,10,19072017,104128,2,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,6,4,10
descriptiveTreatmentCondition1,70,C00,1,2,2,2,10,10,19072017,104128,4,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,6,4,10
descriptiveTreatmentCondition1,70,C00,1,2,2,2,10,10,19072017,104128,1,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,6,6,12
descriptiveTreatmentCondition1,70,C00,1,2,2,2,10,10,19072017,104128,3,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,6,6,12
descriptiveTreatmentCondition1,70,C00,3,6,1,9,11,11,19072017,104135,5,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,3,6,1,9,11,11,19072017,104135,5,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,3,6,1,9,11,11,19072017,104135,5,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,2,6,8
descriptiveTreatmentCondition1,70,C00,3,6,1,9,11,11,19072017,104135,5,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,6,6,12
descriptiveTreatmentCondition1,70,C00,3,6,3,11,12,12,19072017,104157,5,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,2,6,8
descriptiveTreatmentCondition1,70,C00,3,6,3,11,12,12,19072017,104157,5,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,6,6,12
descriptiveTreatmentCondition1,70,C00,3,6,3,11,12,12,19072017,104157,5,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,4,8
descriptiveTreatmentCondition1,70,C00,3,6,3,11,12,12,19072017,104157,5,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,8,12
descriptiveTreatmentCondition1,70,C00,2,6,1,3,13,13,19072017,104222,1,1,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,6,4,10
descriptiveTreatmentCondition1,70,C00,2,6,1,3,13,13,19072017,104222,3,2,descriptive,halfRandom,A,treatment,clockwise,counterclockwise,clockwise,6,4,10
descriptiveTreatmentCondition1,70,C00,2,6,1,3,13,13,19072017,104222,2,1,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,4,6,10
descriptiveTreatmentCondition1,70,C00,2,6,1,3,13,13,19072017,104222,4,2,descriptive,halfRandom,B,control,counterclockwise,counterclockwise,clockwise,4,6,10
