"PARTICIPANTID","EXPSESSION","COMPUTERID","COUNTRY","EXPERIMENTTYPE","EXPERIMENTALCONDITION","EXPERIMENTSTAGE","EXPERIMENTBLOCK","DP","BLOCKDP","ORDER","BLOCKORDER","STARTINGTIME","ENDINGTIME","DURATION"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","13","5","9","1","121614","121621","0:00:07"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","3","10","2","10","2","121737","121739","0:00:02"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","10","2","10","2","121815","121820","0:00:05"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","3","9","1","11","3","121935","121937","0:00:02"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","9","1","11","3","122013","122019","0:00:06"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","3","11","3","12","4","122132","122135","0:00:03"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","11","3","12","4","122211","122217","0:00:06"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","3","12","4","13","5","122329","122332","0:00:03"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","12","4","13","5","122407","122414","0:00:07"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","3","14","6","14","6","122526","122528","0:00:02"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","14","6","14","6","122606","122613","0:00:07"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","11","3","1","1","122622","122639","0:00:17"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","10","2","2","2","122639","122648","0:00:09"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","6","4","3","3","122648","122653","0:00:05"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","13","5","4","4","122653","122657","0:00:04"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","1","2","2","5","5","122657","122702","0:00:05"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","9","1","6","6","122702","122708","0:00:06"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","3","1","7","7","122708","122712","0:00:04"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","7","5","8","8","122712","122717","0:00:05"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","5","3","9","9","122717","122720","0:00:03"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","12","4","10","10","122720","122725","0:00:05"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","14","6","11","11","122725","122731","0:00:06"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","8","6","12","12","122731","122735","0:00:04"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","1","1","1","13","13","122735","122737","0:00:02"
"74","22","F00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","4","2","14","14","122737","122739","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","1","2","2","1","1","120409","120418","0:00:09"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","1","2","2","1","1","120424","120431","0:00:07"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","1","1","1","2","2","120506","120508","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","1","1","1","2","2","120514","120523","0:00:09"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","2","3","1","3","1","120556","120558","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","2","3","1","3","1","120601","120604","0:00:03"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","2","7","5","4","2","120609","120611","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","2","7","5","4","2","120614","120618","0:00:04"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","2","4","2","5","3","120626","120637","0:00:11"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","2","4","2","5","3","120641","120643","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","2","8","6","6","4","120659","120701","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","2","8","6","6","4","120705","120711","0:00:06"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","2","6","4","7","5","120716","120717","0:00:01"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","2","6","4","7","5","120720","120723","0:00:03"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","2","5","3","8","6","120727","120728","0:00:01"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","2","5","3","8","6","120730","120733","0:00:03"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","3","11","3","9","1","121103","121107","0:00:04"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","3","11","3","9","1","121111","121121","0:00:10"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","3","12","4","10","2","121130","121132","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","3","12","4","10","2","121136","121139","0:00:03"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","3","9","1","11","3","121146","121147","0:00:01"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","3","9","1","11","3","121151","121153","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","3","13","5","12","4","121158","121204","0:00:06"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","3","13","5","12","4","121207","121211","0:00:04"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","3","14","6","13","5","121216","121218","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","3","14","6","13","5","121221","121223","0:00:02"
"73","22","C00","UK","experienced","simulatedControlCondition","decision","3","10","2","14","6","121229","121230","0:00:01"
"73","22","C00","UK","experienced","simulatedControlCondition","confirmation","3","10","2","14","6","121233","121235","0:00:02"
"73","22","C00","UK","descriptive","descriptiveControl","choice","3","11","3","1","1","121240","121309","0:00:29"
"73","22","C00","UK","descriptive","descriptiveControl","choice","2","3","1","2","2","121309","121326","0:00:17"
"73","22","C00","UK","descriptive","descriptiveControl","choice","3","10","2","3","3","121326","121330","0:00:04"
"73","22","C00","UK","descriptive","descriptiveControl","choice","3","14","6","4","4","121330","121342","0:00:12"
"73","22","C00","UK","descriptive","descriptiveControl","choice","2","7","5","5","5","121342","121348","0:00:06"
"73","22","C00","UK","descriptive","descriptiveControl","choice","3","12","4","6","6","121348","121358","0:00:10"
"73","22","C00","UK","descriptive","descriptiveControl","choice","3","13","5","7","7","121358","121403","0:00:05"
"73","22","C00","UK","descriptive","descriptiveControl","choice","3","9","1","8","8","121403","121405","0:00:02"
"73","22","C00","UK","descriptive","descriptiveControl","choice","1","1","1","9","9","121405","121410","0:00:05"
"73","22","C00","UK","descriptive","descriptiveControl","choice","2","8","6","10","10","121410","121412","0:00:02"
"73","22","C00","UK","descriptive","descriptiveControl","choice","2","6","4","11","11","121412","121414","0:00:02"
"73","22","C00","UK","descriptive","descriptiveControl","choice","2","5","3","12","12","121414","121425","0:00:11"
"73","22","C00","UK","descriptive","descriptiveControl","choice","2","4","2","13","13","121425","121429","0:00:04"
"73","22","C00","UK","descriptive","descriptiveControl","choice","1","2","2","14","14","121429","121431","0:00:02"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","1","2","2","1","1","120708","120725","0:00:17"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","1","2","2","1","1","120748","120759","0:00:11"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","1","1","1","2","2","120842","120846","0:00:04"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","1","1","1","2","2","120906","120912","0:00:06"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","2","8","6","3","1","120959","121002","0:00:03"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","8","6","3","1","121021","121029","0:00:08"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","2","5","3","4","2","121109","121112","0:00:03"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","5","3","4","2","121131","121135","0:00:04"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","2","7","5","5","3","121211","121214","0:00:03"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","7","5","5","3","121232","121237","0:00:05"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","2","3","1","6","4","121316","121321","0:00:05"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","3","1","6","4","121341","121348","0:00:07"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","2","6","4","7","5","121427","121430","0:00:03"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","6","4","7","5","121450","121456","0:00:06"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","2","4","2","8","6","121533","121537","0:00:04"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","4","2","8","6","121556","121600","0:00:04"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","3","11","3","9","1","122018","122023","0:00:05"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","11","3","9","1","122100","122109","0:00:09"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","3","13","5","10","2","122225","122226","0:00:01"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","13","5","10","2","122302","122306","0:00:04"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","3","9","1","11","3","122417","122419","0:00:02"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","9","1","11","3","122454","122500","0:00:06"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","3","12","4","12","4","122616","122620","0:00:04"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","12","4","12","4","122700","122707","0:00:07"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","3","10","2","13","5","122825","122827","0:00:02"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","10","2","13","5","122910","122914","0:00:04"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","decision","3","14","6","14","6","123030","123032","0:00:02"
"72","22","B00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","14","6","14","6","123111","123115","0:00:04"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","5","3","1","1","123120","123130","0:00:10"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","1","1","1","2","2","123130","123137","0:00:07"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","14","6","3","3","123137","123152","0:00:15"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","6","4","4","4","123152","123156","0:00:04"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","3","1","5","5","123156","123201","0:00:05"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","10","2","6","6","123201","123209","0:00:08"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","12","4","7","7","123209","123213","0:00:04"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","8","6","8","8","123213","123219","0:00:06"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","1","2","2","9","9","123219","123224","0:00:05"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","11","3","10","10","123224","123227","0:00:03"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","4","2","11","11","123227","123231","0:00:04"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","9","1","12","12","123231","123234","0:00:03"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","7","5","13","13","123234","123238","0:00:04"
"72","22","B00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","13","5","14","14","123238","123243","0:00:05"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","1","2","2","1","1","121503","121524","0:00:21"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","1","2","2","1","1","121546","121555","0:00:09"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","1","1","1","2","2","121638","121640","0:00:02"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","1","1","1","2","2","121700","121708","0:00:08"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","2","6","4","3","1","121806","121815","0:00:09"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","2","6","4","3","1","121836","121847","0:00:11"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","2","7","5","4","2","121936","121939","0:00:03"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","2","7","5","4","2","121958","122002","0:00:04"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","2","5","3","5","3","122046","122048","0:00:02"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","2","5","3","5","3","122108","122113","0:00:05"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","2","3","1","6","4","122153","122158","0:00:05"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","2","3","1","6","4","122220","122222","0:00:02"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","2","8","6","7","5","122307","122309","0:00:02"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","2","8","6","7","5","122328","122337","0:00:09"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","2","4","2","8","6","122419","122421","0:00:02"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","2","4","2","8","6","122441","122446","0:00:05"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","3","14","6","9","1","122908","122918","0:00:10"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","3","14","6","9","1","122958","123004","0:00:06"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","3","10","2","10","2","123124","123126","0:00:02"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","3","10","2","10","2","123204","123210","0:00:06"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","3","12","4","11","3","123332","123345","0:00:13"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","3","12","4","11","3","123422","123429","0:00:07"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","3","13","5","12","4","123546","123553","0:00:07"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","3","13","5","12","4","123632","123638","0:00:06"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","3","11","3","13","5","123753","123757","0:00:04"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","3","11","3","13","5","123835","123841","0:00:06"
"71","21","A00","UK","experienced","simulatedControlCondition","decision","3","9","1","14","6","124002","124009","0:00:07"
"71","21","A00","UK","experienced","simulatedControlCondition","confirmation","3","9","1","14","6","124046","124052","0:00:06"
"71","21","A00","UK","descriptive","descriptiveControl","choice","3","13","5","1","1","124057","124135","0:00:38"
"71","21","A00","UK","descriptive","descriptiveControl","choice","2","5","3","2","2","124135","124152","0:00:17"
"71","21","A00","UK","descriptive","descriptiveControl","choice","1","2","2","3","3","124152","124200","0:00:08"
"71","21","A00","UK","descriptive","descriptiveControl","choice","3","14","6","4","4","124200","124240","0:00:40"
"71","21","A00","UK","descriptive","descriptiveControl","choice","3","9","1","5","5","124240","124251","0:00:11"
"71","21","A00","UK","descriptive","descriptiveControl","choice","2","3","1","6","6","124251","124258","0:00:07"
"71","21","A00","UK","descriptive","descriptiveControl","choice","3","10","2","7","7","124258","124308","0:00:10"
"71","21","A00","UK","descriptive","descriptiveControl","choice","1","1","1","8","8","124308","124316","0:00:08"
"71","21","A00","UK","descriptive","descriptiveControl","choice","3","12","4","9","9","124316","124325","0:00:09"
"71","21","A00","UK","descriptive","descriptiveControl","choice","2","6","4","10","10","124325","124334","0:00:09"
"71","21","A00","UK","descriptive","descriptiveControl","choice","2","8","6","11","11","124334","124342","0:00:08"
"71","21","A00","UK","descriptive","descriptiveControl","choice","2","7","5","12","12","124342","124347","0:00:05"
"71","21","A00","UK","descriptive","descriptiveControl","choice","3","11","3","13","13","124347","124416","0:00:29"
"71","21","A00","UK","descriptive","descriptiveControl","choice","2","4","2","14","14","124416","124421","0:00:05"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","1","1","1","1","1","101219","101231","0:00:12"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","1","1","1","1","1","101252","101305","0:00:13"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","1","2","2","2","2","101344","101358","0:00:14"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","1","2","2","2","2","101416","101425","0:00:09"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","2","4","2","3","1","101601","101603","0:00:02"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","4","2","3","1","101622","101626","0:00:04"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","2","3","1","4","2","101741","101743","0:00:02"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","3","1","4","2","101800","101809","0:00:09"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","2","6","4","5","3","101850","101853","0:00:03"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","6","4","5","3","101914","101919","0:00:05"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","2","8","6","6","4","102030","102031","0:00:01"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","8","6","6","4","102048","102059","0:00:11"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","2","5","3","7","5","102136","102137","0:00:01"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","5","3","7","5","102155","102158","0:00:03"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","2","7","5","8","6","102308","102309","0:00:01"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","7","5","8","6","102327","102333","0:00:06"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","3","12","4","9","1","102917","102918","0:00:01"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","12","4","9","1","102954","102958","0:00:04"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","3","13","5","10","2","103108","103127","0:00:19"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","13","5","10","2","103202","103208","0:00:06"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","3","14","6","11","3","103318","103320","0:00:02"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","14","6","11","3","103355","103358","0:00:03"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","3","10","2","12","4","103507","103509","0:00:02"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","10","2","12","4","103543","103548","0:00:05"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","3","11","3","13","5","103657","103658","0:00:01"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","11","3","13","5","103732","103738","0:00:06"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","decision","3","9","1","14","6","103847","103848","0:00:01"
"70","21","C00","UK","experienced","simulatedTreatmentCondition1","confirmation","3","9","1","14","6","103924","103929","0:00:05"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","1","1","1","1","1","103938","103955","0:00:17"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","8","6","2","2","103955","104002","0:00:07"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","14","6","3","3","104002","104031","0:00:29"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","7","5","4","4","104031","104038","0:00:07"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","13","5","5","5","104038","104048","0:00:10"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","10","2","6","6","104048","104101","0:00:13"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","5","3","7","7","104101","104114","0:00:13"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","4","2","8","8","104114","104119","0:00:05"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","12","4","9","9","104119","104128","0:00:09"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","1","2","2","10","10","104128","104135","0:00:07"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","9","1","11","11","104135","104157","0:00:22"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","3","11","3","12","12","104157","104222","0:00:25"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","3","1","13","13","104222","104227","0:00:05"
"70","21","C00","UK","descriptive","descriptiveTreatmentCondition1","choice","2","6","4","14","14","104227","104232","0:00:05"
"69","21","B00","UK","experienced","simulatedControlCondition","decision","1","1","1","1","1","101238","101312","0:00:34"
"69","21","B00","UK","experienced","simulatedControlCondition","confirmation","1","1","1","1","1","101334","101344","0:00:10"
"69","21","B00","UK","experienced","simulatedControlCondition","decision","1","2","2","2","2","101504","101509","0:00:05"
